reporting_organisation,donor,project_status,governorate,district,sub_district,community,neighbourhood,camp_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,neighbourhood_pcode,admin5pcode,location_other,village_camps,latitude_y,longitude_x,cluster,response_type,families,female_headed_hh,beneficiaries,men_18_60,women_18_60,boys_18,girls_18,elderly_males_60,elderly_females_60,idps,host_communities,returnees,pwds,previously_assisted,newly_assisted,conditionality,restrictions,cash_delivery_mechanism,voucher_delivery_mechanism,currency,transfer_value,transfer_frequency,num_payments,fx_rate,total_value_per_hh,total_usd,targeting_criteria,start_date,distribution_date,comments,month_of_activity,abbreviation,implementing_partner,activity,source
NA,SCHF,Completed,Aleppo,Afrin,Afrin,Bablit,NA,NA,SY02,SY0203,SY020300,C1351,NA,NA,NA,NA,36.482733,36.827748,Food security,HRP,97,NA,485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Conditional - Other,Voucher - Restricted,Local business,e-voucher,USD,65,NA,1,1,65,6305,Vulnerability-based,2023-04-30,2023-05-10,NA,2023-04-30,BO,Bahar Organization (BO),Cash Response,4ws
NA,SCHF,Completed,Aleppo,Afrin,Afrin,Marata (Afrin),NA,NA,SY02,SY0203,SY020300,C1384,NA,NA,NA,NA,36.500378,36.800617,Food security,HRP,543,NA,2715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Conditional - Other,Voucher - Restricted,Local business,e-voucher,USD,65,NA,1,1,65,35295,Vulnerability-based,2023-04-30,2023-05-10,NA,2023-04-30,BO,Bahar Organization (BO),Cash Response,4ws
NA,SCHF,Completed,Aleppo,Afrin,Bulbul,Sheikh Khoraz,NA,NA,SY02,SY0203,SY020301,C1410,NA,NA,NA,NA,36.733497,36.889071,Food security,HRP,94,NA,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Conditional - Other,Voucher - Restricted,Local business,e-voucher,USD,65,NA,1,1,65,6110,Vulnerability-based,2023-04-30,2023-05-10,NA,2023-04-30,BO,Bahar Organization (BO),Cash Response,4ws
NA,SCHF,Completed,Aleppo,Afrin,Raju,Kusan,NA,NA,SY02,SY0203,SY020303,C1490,NA,NA,NA,NA,36.810703,36.717462,Food security,HRP,52,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Conditional - Other,Voucher - Restricted,Local business,e-voucher,USD,65,NA,1,1,65,3380,Vulnerability-based,2023-04-30,2023-05-10,NA,2023-04-30,BO,Bahar Organization (BO),Cash Response,4ws
NA,SCHF,Completed,Aleppo,Afrin,Raju,Qalam - Bandrak,NA,NA,SY02,SY0203,SY020303,C1480,NA,NA,NA,NA,36.817914,36.724115,Food security,HRP,33,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Conditional - Other,Voucher - Restricted,Local business,e-voucher,USD,65,NA,1,1,65,2145,Vulnerability-based,2023-04-30,2023-05-10,NA,2023-04-30,BO,Bahar Organization (BO),Cash Response,4ws
NA,SCHF,Completed,Aleppo,Afrin,Afrin,Afrin (Afrin),NA,NA,SY02,SY0203,SY020300,C1366,NA,NA,NA,NA,36.511094,36.865523,Food security,HRP,379,NA,1895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Conditional - Other,Voucher - Restricted,Local business,e-voucher,USD,65,NA,1,1,65,24635,Vulnerability-based,2023-04-30,2023-05-10,NA,2023-04-30,BO,Bahar Organization (BO),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Armanaz,Milis,NA,NA,SY07,SY0703,SY070305,C4184,NA,NA,NA,NA,36.005116,36.487717,Multipurpose - One time,Earthquake,246,0,1219,320,324,291,284,74,72,NA,1219,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,36900,Blanket,2023-03-13,2023-03-15,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Armanaz,Milis,NA,NA,SY07,SY0703,SY070305,C4184,NA,NA,NA,NA,36.005116,36.487717,Multipurpose - One time,Earthquake,79,0,387,82,102,95,108,14,19,387,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,11850,Blanket,2023-03-13,2023-03-15,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Planned,Idleb,Harim,Harim,Ariba,NA,NA,SY07,SY0703,SY070300,C4114,NA,NA,NA,NA,36.176232,36.508001,Multipurpose - One time,Earthquake,128,0,593,140,156,152,145,29,30,NA,593,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,19200,Blanket,2023-04-27,2023-04-27,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Planned,Idleb,Harim,Harim,Ariba,NA,NA,SY07,SY0703,SY070300,C4114,NA,NA,NA,NA,36.176232,36.508001,Multipurpose - One time,Earthquake,13,0,65,17,16,19,13,5,4,65,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,1950,Blanket,2023-04-27,2023-04-27,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Completed,Idleb,Harim,Harim,Besnaya - Bseineh,NA,NA,SY07,SY0703,SY070300,C4116,NA,NA,NA,NA,36.177439,36.490048,Multipurpose - One time,Earthquake,228,0,1092,254,265,283,290,70,52,NA,1092,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,34200,Blanket,2023-04-12,2023-04-13,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Completed,Idleb,Harim,Harim,Besnaya - Bseineh,NA,NA,SY07,SY0703,SY070300,C4116,NA,NA,NA,NA,36.177439,36.490048,Multipurpose - One time,Earthquake,137,0,752,182,161,229,180,41,30,752,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,20550,Blanket,2023-04-12,2023-04-13,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Completed,Idleb,Harim,Harim,Harim,NA,NA,SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - One time,Earthquake,2806,5,12789,2975,3300,3329,3185,702,794,NA,12789,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,420900,Blanket,2023-02-21,2023-04-06,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Harim,Harim,NA,NA,SY07,SY0703,SY070300,C4115,NA,NA,NA,NA,36.212594,36.520746,Multipurpose - One time,Earthquake,2247,4,11014,2338,2708,3072,2896,471,473,11014,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,337050,Blanket,2023-02-21,2023-04-06,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Planned,Idleb,Harim,Harim,Kafr Hum (co),NA,NA,SY07,SY0703,SY070300,C4117,NA,NA,NA,NA,36.197055,36.479365,Multipurpose - One time,Earthquake,292,0,1402,314,337,404,347,74,71,NA,1402,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,43800,Blanket,2023-04-26,2023-04-26,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Planned,Idleb,Harim,Harim,Kafr Hum (co),NA,NA,SY07,SY0703,SY070300,C4117,NA,NA,NA,NA,36.197055,36.479365,Multipurpose - One time,Earthquake,100,0,537,108,128,146,155,27,27,537,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,15000,Blanket,2023-04-26,2023-04-26,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Completed,Idleb,Harim,Kafr Takharim,Kafr Takharim,NA,NA,SY07,SY0703,SY070303,C4157,NA,NA,NA,NA,36.116497,36.51543,Multipurpose - One time,Earthquake,350,0,1662,405,457,418,382,98,84,NA,1662,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,52500,Blanket,2023-03-20,2023-04-05,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Completed,Idleb,Harim,Kafr Takharim,Kafr Takharim,NA,NA,SY07,SY0703,SY070303,C4157,NA,NA,NA,NA,36.116497,36.51543,Multipurpose - One time,Earthquake,539,2,2848,639,680,775,754,114,88,2848,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,80850,Blanket,2023-03-20,2023-04-05,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Abu Talha,NA,NA,SY07,SY0703,SY070302,C4133,NA,NA,NA,NA,36.103967,36.436286,Multipurpose - One time,Earthquake,152,1,738,194,194,180,170,54,45,NA,738,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,22800,Blanket,2023-03-14,2023-03-16,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Abu Talha,NA,NA,SY07,SY0703,SY070302,C4133,NA,NA,NA,NA,36.103967,36.436286,Multipurpose - One time,Earthquake,145,0,748,188,198,194,168,53,34,748,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,21750,Blanket,2023-03-14,2023-03-16,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Salqin,NA,Al Ajami,SY07,SY0703,SY070302,C4140,NA,CP002065,NA,NA,36.139048,36.453694,Multipurpose - One time,Earthquake,130,0,585,133,153,155,144,29,39,585,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,19500,Blanket,2023-03-15,2023-04-13,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Hamra (Salqin),NA,NA,SY07,SY0703,SY070302,C6621,NA,NA,NA,NA,36.084542,36.393433,Multipurpose - One time,Earthquake,1,0,7,1,1,2,3,0,0,NA,7,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,150,Blanket,2023-03-13,2023-03-14,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Hamra (Salqin),NA,NA,SY07,SY0703,SY070302,C6621,NA,NA,NA,NA,36.084542,36.393433,Multipurpose - One time,Earthquake,70,0,391,80,78,112,121,12,9,391,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,10500,Blanket,2023-03-13,2023-03-14,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Completed,Idleb,Harim,Salqin,Allani,NA,NA,SY07,SY0703,SY070302,C4142,NA,NA,NA,NA,36.160124,36.389057,Multipurpose - One time,Earthquake,219,0,1027,249,267,264,247,58,57,NA,1027,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,32850,Blanket,2023-02-21,2023-03-02,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Allani,NA,NA,SY07,SY0703,SY070302,C4142,NA,NA,NA,NA,36.160124,36.389057,Multipurpose - One time,Earthquake,778,1,3481,859,898,896,828,179,197,3481,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,116700,Blanket,2023-02-21,2023-03-02,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Salqin,NA,NA,SY07,SY0703,SY070302,C4140,NA,NA,NA,Alsaid-khalil,36.139048,36.453694,Multipurpose - One time,Earthquake,27,0,151,31,32,35,53,3,3,NA,151,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,4050,Blanket,2023-03-15,2023-04-13,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Salqin,NA,NA,SY07,SY0703,SY070302,C4140,NA,NA,NA,Alsaid-khalil,36.139048,36.453694,Multipurpose - One time,Earthquake,22,0,121,27,32,28,34,9,6,121,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,3300,Blanket,2023-03-15,2023-04-13,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Azmarin,NA,NA,SY07,SY0703,SY070302,C4143,NA,NA,NA,NA,36.055985,36.401422,Multipurpose - One time,Earthquake,131,0,628,160,155,166,147,33,28,NA,628,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,19650,Blanket,2023-03-05,2023-03-09,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Azmarin,NA,NA,SY07,SY0703,SY070302,C4143,NA,NA,NA,NA,36.055985,36.401422,Multipurpose - One time,Earthquake,1427,1,6880,1631,1736,1784,1729,353,370,6880,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,214050,Blanket,2023-03-05,2023-03-09,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Betiya,NA,NA,SY07,SY0703,SY070302,C4147,NA,NA,NA,NA,36.075831,36.388647,Multipurpose - One time,Earthquake,70,0,366,101,79,99,87,22,13,NA,366,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,10500,Blanket,2023-04-12,2023-04-13,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Betiya,NA,NA,SY07,SY0703,SY070302,C4147,NA,NA,NA,NA,36.075831,36.388647,Multipurpose - One time,Earthquake,110,0,567,128,131,154,154,29,26,567,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,16500,Blanket,2023-04-12,2023-04-13,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Delbiya,NA,NA,SY07,SY0703,SY070302,C4146,NA,NA,NA,NA,36.126835,36.400024,Multipurpose - One time,Earthquake,133,0,720,160,154,206,200,37,35,NA,720,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,19950,Blanket,2023-03-12,2023-03-14,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Delbiya,NA,NA,SY07,SY0703,SY070302,C4146,NA,NA,NA,NA,36.126835,36.400024,Multipurpose - One time,Earthquake,157,0,837,193,186,254,204,36,38,837,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,23550,Blanket,2023-03-12,2023-03-14,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Planned,Idleb,Harim,Salqin,Eskat,NA,NA,SY07,SY0703,SY070302,C4145,NA,NA,NA,NA,36.151057,36.474911,Multipurpose - One time,Earthquake,848,0,4009,954,978,1079,998,186,173,NA,4009,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,127200,Blanket,2023-04-26,2023-04-30,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Planned,Idleb,Harim,Salqin,Eskat,NA,NA,SY07,SY0703,SY070302,C4145,NA,NA,NA,NA,36.151057,36.474911,Multipurpose - One time,Earthquake,739,1,3768,869,953,1034,912,186,183,3768,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,110850,Blanket,2023-04-26,2023-04-30,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Completed,Idleb,Harim,Salqin,Hamziyeh,NA,NA,SY07,SY0703,SY070302,C4134,NA,NA,NA,NA,36.103764,36.386434,Multipurpose - One time,Earthquake,54,0,303,61,71,96,75,12,13,NA,303,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,8100,Blanket,2023-03-13,2023-03-14,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Completed,Idleb,Harim,Salqin,Hamziyeh,NA,NA,SY07,SY0703,SY070302,C4134,NA,NA,NA,NA,36.103764,36.386434,Multipurpose - One time,Earthquake,322,0,1567,338,388,460,381,66,75,1567,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,48300,Blanket,2023-03-13,2023-03-14,NA,2023-02-28,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Jakara,NA,NA,SY07,SY0703,SY070302,C6622,NA,NA,NA,NA,36.148555,36.389864,Multipurpose - One time,Earthquake,57,0,274,63,77,71,63,16,20,NA,274,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,8550,Blanket,2023-03-12,2023-03-13,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Jakara,NA,NA,SY07,SY0703,SY070302,C6622,NA,NA,NA,NA,36.148555,36.389864,Multipurpose - One time,Earthquake,45,0,215,63,58,53,41,19,13,215,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,6750,Blanket,2023-03-12,2023-03-13,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Planned,Idleb,Harim,Salqin,Jeser Maksour,NA,NA,SY07,SY0703,SY070302,C6618,NA,NA,NA,NA,36.179822,36.382843,Multipurpose - One time,Earthquake,75,0,382,96,94,95,97,20,18,NA,382,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,11250,Blanket,2023-04-27,2023-04-27,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Planned,Idleb,Harim,Salqin,Jeser Maksour,NA,NA,SY07,SY0703,SY070302,C6618,NA,NA,NA,NA,36.179822,36.382843,Multipurpose - One time,Earthquake,15,0,91,18,22,24,27,3,4,91,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,2250,Blanket,2023-04-27,2023-04-27,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Planned,Idleb,Harim,Salqin,Kafrahlat Jallad,NA,NA,SY07,SY0703,SY070302,C4150,NA,NA,NA,NA,36.167431,36.446232,Multipurpose - One time,Earthquake,36,0,154,38,45,45,26,8,10,NA,154,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,5400,Blanket,2023-04-26,2023-04-26,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Planned,Idleb,Harim,Salqin,Kafrahlat Jallad,NA,NA,SY07,SY0703,SY070302,C4150,NA,NA,NA,NA,36.167431,36.446232,Multipurpose - One time,Earthquake,17,0,70,19,20,19,12,5,6,70,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,2550,Blanket,2023-04-26,2023-04-26,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Planned,Idleb,Harim,Salqin,Little Hir Jamus,NA,NA,SY07,SY0703,SY070302,C4139,NA,NA,NA,NA,36.181067,36.435582,Multipurpose - One time,Earthquake,94,0,467,123,134,117,93,24,22,NA,467,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,14100,Blanket,2023-04-26,2023-04-26,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Planned,Idleb,Harim,Salqin,Little Hir Jamus,NA,NA,SY07,SY0703,SY070302,C4139,NA,NA,NA,NA,36.181067,36.435582,Multipurpose - One time,Earthquake,42,0,222,53,58,57,54,15,14,222,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,6300,Blanket,2023-04-26,2023-04-26,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Saidiyeh (Salqin),NA,NA,SY07,SY0703,SY070302,C4138,NA,NA,NA,NA,36.067475,36.423879,Multipurpose - One time,Earthquake,120,2,639,139,154,179,167,32,39,NA,639,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,18000,Blanket,2023-03-14,2023-03-16,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Saidiyeh (Salqin),NA,NA,SY07,SY0703,SY070302,C4138,NA,NA,NA,NA,36.067475,36.423879,Multipurpose - One time,Earthquake,82,0,430,99,106,106,119,24,22,430,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,12300,Blanket,2023-03-14,2023-03-16,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Completed,Idleb,Harim,Salqin,Salqin,NA,NA,SY07,SY0703,SY070302,C4140,NA,NA,NA,NA,36.139048,36.453694,Multipurpose - One time,Earthquake,3670,4,15351,4050,4549,3445,3307,1044,1147,NA,15351,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,550500,Blanket,2023-03-15,2023-04-13,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Completed,Idleb,Harim,Salqin,Salqin,NA,NA,SY07,SY0703,SY070302,C4140,NA,NA,NA,NA,36.139048,36.453694,Multipurpose - One time,Earthquake,3195,3,15114,3441,3816,3979,3878,596,594,15114,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,479250,Blanket,2023-03-15,2023-04-13,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Planned,Idleb,Harim,Salqin,Shyukh,NA,NA,SY07,SY0703,SY070302,C6364,NA,NA,NA,NA,36.10337,36.41378,Multipurpose - One time,Earthquake,82,0,432,108,114,112,98,28,29,NA,432,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,12300,Blanket,2023-04-27,2023-04-27,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Planned,Idleb,Harim,Salqin,Shyukh,NA,NA,SY07,SY0703,SY070302,C6364,NA,NA,NA,NA,36.10337,36.41378,Multipurpose - One time,Earthquake,35,0,181,47,50,39,45,15,11,181,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,5250,Blanket,2023-04-27,2023-04-27,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Tellemar,NA,NA,SY07,SY0703,SY070302,C4148,NA,NA,NA,NA,36.057763,36.417177,Multipurpose - One time,Earthquake,108,0,506,104,135,125,142,22,36,NA,506,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,16200,Blanket,2023-03-13,2023-03-14,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,BHA,Completed,Idleb,Harim,Salqin,Tellemar,NA,NA,SY07,SY0703,SY070302,C4148,NA,NA,NA,NA,36.057763,36.417177,Multipurpose - One time,Earthquake,287,1,1571,366,409,405,391,87,91,1571,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,43050,Blanket,2023-03-13,2023-03-14,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,الشلاش/Al Shlash,SY07,SY0700,SY070005,C3949,NA,CP001757,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,4,0,23,5,5,8,5,0,0,23,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,600,Blanket,2023-03-08,2023-04-06,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,NA,SY07,SY0700,SY070005,C3949,NA,NA,NA,Ataa Alrahman/ عطاء الرحمن,36.108118,36.69463,Multipurpose - One time,Earthquake,24,0,122,25,28,38,31,4,4,122,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,3600,Blanket,2023-03-08,2023-04-06,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Khair  / خير,SY07,SY0700,SY070005,C3949,NA,CP000588,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,6,0,45,12,8,15,10,1,2,45,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,900,Blanket,2023-03-08,2023-04-06,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Tajmae 'Ahl mork / تجمع أهل مورك,SY07,SY0700,SY070005,C3949,NA,CP000975,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,6,0,31,6,7,9,9,2,0,31,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,900,Blanket,2023-03-08,2023-04-06,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
GOAL,ECHO,Completed,Idleb,Idleb,Maaret Tamsrin,Kelly,NA,Al Ainaa/ العيناء,SY07,SY0700,SY070005,C3949,NA,CP000970,NA,NA,36.108118,36.69463,Multipurpose - One time,Earthquake,4,0,29,6,4,7,12,2,0,29,NA,NA,NA,No,NA,Unconditional,Cash - Unrestricted,Local money trader,NA,USD,150,NA,1,1,150,600,Blanket,2023-03-08,2023-04-06,NA,2023-03-31,GOAL,GOAL (GOAL),Cash Response,4ws
